"","V1","V2","V3","V4","V5"
"phase",1,2,3,4,5
"NoDS.fl_mean",3.89453125,4.00917431192661,3.90835579514825,3.91932624113475,3.95751295336788
"NoDS.fl_sd",2.04474682621916,2.15951612964011,2.05260816091549,1.921174840192,2.02711342280829
"co_mean",12.3125,14.7,10.3333333333333,10.0810810810811,10.6046511627907
"co_sd",5.14741035214149,6.51395263625461,3.47283832917774,3.96076857285145,4.30470138825935
"ohr[, -1]",0.53125,0.564220183486238,0.533692722371968,0.575354609929078,0.595854922279793
